company_id,industry_sector,listing_status,credit_rating_band,audit_going_concern_flag,years_in_operation,num_employees,debt_to_equity_ratio,current_ratio,interest_coverage_ratio,revenue_growth_pct,net_profit_margin_pct,working_capital_to_assets_ratio,macroeconomic_interest_rate_pct,distress_risk_category
1,Manufacturing,Private,Investment Grade,,6.1,92,1.05,0.65,12.25,8.19,25.440923818447637,-0.025,14.15,Healthy
2,Manufacturing,Private,High Risk,,8.9,158,0.24,1.74,7.46,4.55,3.5581569786477574,0.139,10.17,Healthy
3,Manufacturing,Private,Investment Grade,,39.1,587,2.53,1.32,-0.15,4.15,,0.082,14.42,Healthy
4,Energy,Private,Investment Grade,,16.3,49,0.44,2.36,9.51,8.56,-8.063746738480102,0.242,13.41,Healthy
5,Manufacturing,Public,Investment Grade,No,9.2,157,1.92,1.56,4.2,2.57,-4.546986134465898,0.039,14.76,Healthy
6,Construction,Private,Speculative,,15.9,167,1.19,1.7,8.88,-6.44,-10.160096596966547,0.126,14.83,Healthy
7,Manufacturing,Public,Speculative,No,12.1,1049,1.69,1.62,2.53,6.83,-10.736255997309481,0.171,12.65,Distressed
8,Energy,Private,Investment Grade,,1.5,303,0.91,0.5,4.78,0.97,11.353556232325726,-0.061,12.97,Watch
9,Construction,Public,Investment Grade,No,19.4,331,0.32,1.66,-0.89,17.68,10.436952200577576,0.187,12.95,Healthy
10,Technology,Private,Investment Grade,,19.8,315,0.95,2.17,11.62,12.21,11.037593021566865,0.244,14.5,Healthy
11,Manufacturing,Private,Investment Grade,,10.2,355,1.28,0.76,2.73,16.32,-3.923515094568833,-0.061,10.0,Healthy
12,Manufacturing,Private,Speculative,,4.4,341,1.52,1.13,-4.4,17.59,10.628463703931676,0.063,13.6,Healthy
13,Manufacturing,Private,Investment Grade,,9.4,90,1.03,1.12,6.33,25.26,-8.964502709378225,0.042,14.06,Healthy
14,Construction,Public,Speculative,No,13.9,371,1.33,2.26,0.37,1.67,15.875104221457896,0.141,14.33,Healthy
15,Manufacturing,Private,Speculative,,14.3,219,1.71,3.19,-7.95,17.86,5.203173144380413,0.309,14.52,Distressed
16,Technology,Public,High Risk,No,1.1,259,2.52,1.51,7.52,6.05,17.20084440511267,0.105,12.33,Healthy
17,Energy,Private,Speculative,,25.8,505,0.59,2.27,-4.68,3.29,8.171090780927326,0.275,14.35,Watch
18,Energy,Private,Speculative,,9.0,172,1.27,1.79,7.72,4.59,0.8984753025602643,0.158,11.96,Healthy
19,Manufacturing,Private,High Risk,,23.0,132,1.25,2.67,-1.55,2.52,-11.978587860175885,0.101,15.6,Distressed
20,Technology,Public,Speculative,No,17.6,253,1.64,2.75,2.01,-1.93,7.456112279380151,0.187,8.92,Healthy
21,Construction,Public,Speculative,No,18.2,217,3.48,1.46,-4.06,5.77,5.76742438025851,0.05,15.27,Watch
22,Manufacturing,Private,Investment Grade,,3.4,42,1.19,2.41,-0.58,12.3,13.262808739756082,0.267,8.56,Healthy
23,Retail,Private,Investment Grade,,9.1,549,0.56,0.1,-5.17,-1.87,4.295775776044014,-0.17,12.11,Healthy
24,Construction,Public,Speculative,No,8.1,774,0.75,1.92,8.42,2.15,6.084746731680671,0.212,18.85,Healthy
25,Technology,Private,Investment Grade,,9.2,198,1.06,0.7,8.65,18.28,-6.23526924607625,-0.045,13.6,Watch
26,Retail,Private,Speculative,,14.6,433,2.31,1.24,-4.31,5.14,3.605996236252516,0.028,11.88,Distressed
27,Construction,Private,Speculative,,13.7,750,1.1,1.22,13.69,11.36,2.64854399678588,0.086,14.34,Healthy
28,Construction,Public,Investment Grade,No,22.5,160,1.62,2.3,5.07,-12.81,5.427236780072404,0.281,12.01,Healthy
29,Technology,Public,High Risk,No,6.9,145,0.43,2.46,11.44,19.31,,0.16,13.42,Healthy
30,Technology,Public,Investment Grade,No,9.3,430,0.97,2.36,4.72,-0.63,11.915635861082984,0.236,13.5,Healthy
31,Energy,Private,Investment Grade,,15.9,186,0.1,0.42,4.5,14.75,,-0.083,10.5,Healthy
32,Construction,Private,Investment Grade,,19.8,210,0.27,1.68,4.88,0.11,-4.891070111858918,0.16,17.54,Watch
33,Energy,Public,Investment Grade,Yes,7.7,202,0.51,1.8,2.64,-7.84,10.700244807236267,0.081,10.46,Watch
34,Retail,Private,High Risk,,9.6,237,0.5,0.15,6.08,5.02,10.543633353704362,-0.156,15.88,Healthy
35,Retail,Private,Investment Grade,,23.4,222,1.28,1.09,2.41,13.98,13.22825245659213,0.016,10.42,Healthy
36,Retail,Private,High Risk,,1.6,980,3.67,0.89,4.43,-0.37,3.9628231598497416,-0.02,14.25,Distressed
37,Construction,Private,Investment Grade,,4.7,104,0.44,0.7,5.85,12.7,-0.025347761029458127,-0.016,14.49,Healthy
38,Retail,Private,Speculative,,3.3,319,2.68,0.94,6.32,22.7,9.317149570536316,-0.023,11.52,Watch
39,Retail,Private,Investment Grade,,5.6,627,2.58,2.35,10.82,6.49,-6.8234575757534195,0.31,11.86,Healthy
40,Retail,Private,Investment Grade,,5.8,353,1.22,1.07,7.9,1.32,1.4535728845229645,-0.006,16.32,Healthy
41,Manufacturing,Private,Speculative,,7.3,274,0.52,2.72,10.45,7.97,10.912733778618966,0.295,13.51,Healthy
42,Retail,Public,Speculative,No,4.7,285,0.53,1.26,8.06,3.09,9.051753352297737,0.039,12.37,Distressed
43,Technology,Private,High Risk,,13.1,154,0.3,2.45,0.46,13.02,3.229375097859474,0.233,17.3,Healthy
44,Construction,Private,Speculative,,16.0,473,0.42,0.97,-1.66,-9.33,3.1699559598232985,0.011,12.92,Healthy
45,Retail,Private,Investment Grade,,7.6,331,2.58,1.38,-5.36,7.21,-0.8441513946151478,0.019,15.68,Watch
46,Energy,Public,Speculative,No,40.0,207,0.46,1.47,0.54,1.45,11.319842126502504,0.1,15.32,Healthy
47,Retail,Public,Speculative,No,26.3,568,1.48,2.34,0.3,14.31,1.9455928675978162,0.098,16.98,Healthy
48,Construction,Private,Investment Grade,,6.5,170,3.85,1.12,2.81,2.09,3.40871089523644,0.081,14.06,Watch
49,Construction,Public,Speculative,No,12.5,196,0.91,2.84,0.08,-0.74,-2.7086879291482013,0.193,12.51,Healthy
